model,provider,project,run,story_id,criterion,decision,evidence,rationale,related_story_ids,confidence,ground_truth,error_type
Gemini-3.1-Pro-Preview,google,BADCamp,4,BC-047,Independent,Violation,see a list of all the summits,Viewing a list of summits inherently depends on summits existing first.,"[""BC-042""]",High,No Violation,FP
Gemini-3.1-Pro-Preview,google,BADCamp,4,BC-049,Independent,Violation,use a WYSIWYG editor for all long-form content,Using a WYSIWYG editor for content inherently depends on content creation features existing first.,"[""BC-035""]",High,No Violation,FP
Gemini-3.1-Pro-Preview,google,BADCamp,4,BC-050,Independent,Violation,Link to my sponsorship profile from my job listings,Linking from job listings to a sponsorship profile inherently depends on job listings existing first.,"[""BC-052""]",High,No Violation,FP
Gemini-3.1-Pro-Preview,google,BADCamp,4,BC-053,Independent,Violation,view the job board,Viewing the job board inherently depends on the capability to post jobs first.,"[""BC-052""]",High,No Violation,FP
Gemini-3.1-Pro-Preview,google,BADCamp,4,BC-055,Independent,Violation,see the schedule,Viewing the schedule inherently depends on the capability to populate the schedule first.,"[""BC-054""]",High,No Violation,FP
Gemini-3.1-Pro-Preview,google,BADCamp,4,BC-056,Independent,Violation,see the final list of sessions approved,Viewing approved sessions inherently depends on the capability to approve sessions first.,"[""BC-057""]",High,No Violation,FP
Gemini-3.1-Pro-Preview,google,BADCamp,4,BC-057,Independent,Violation,bulk approve sessions as accepted,Approving sessions inherently depends on the capability to submit sessions first.,"[""BC-063""]",High,No Violation,FP
Gemini-3.1-Pro-Preview,google,BADCamp,4,BC-061,Independent,Violation,edit my session,Editing a session inherently depends on the capability to submit a session first.,"[""BC-063""]",High,No Violation,FP
Gemini-3.1-Pro-Preview,google,BADCamp,4,BC-062,Independent,Violation,register to speak at BADCamp,Registering to speak inherently depends on the user registration feature existing first.,"[""BC-068""]",High,No Violation,FP
Gemini-3.1-Pro-Preview,google,BADCamp,4,BC-064,Independent,Violation,personalize my sponsorship page,Personalizing a sponsorship page inherently depends on becoming a sponsor first.,"[""BC-023""]",High,No Violation,FP
Gemini-3.1-Pro-Preview,google,BADCamp,4,BC-065,Independent,Violation,see a list of all the summits that include when they are,Viewing a list of summits inherently depends on summits existing first.,"[""BC-042""]",High,No Violation,FP
Gemini-3.1-Pro-Preview,google,BADCamp,4,BC-067,Independent,Violation,find a link in the menu that links to the registration form,Linking to the registration form inherently depends on the registration form existing first.,"[""BC-068""]",High,No Violation,FP
Gemini-3.1-Pro-Preview,google,BADCamp,4,BC-069,Independent,Violation,find session information,Finding session information inherently depends on sessions existing first.,"[""BC-063""]",High,No Violation,FP
Gemini-3.1-Pro-Preview,google,BADCamp,4,BC-007,Minimal,No Violation,,"The story contains only role, means, and ends without extra notes.",[],High,Violation,FN
Gemini-3.1-Pro-Preview,google,BADCamp,4,BC-011,Minimal,Violation,if there is a schedule feature on the site,"The story includes a comment/note about the existence of a feature, which should be external to the story sentence.",[],High,No Violation,FP
Gemini-3.1-Pro-Preview,google,BADCamp,4,BC-017,Minimal,No Violation,,"The story contains only role, means, and ends without extra notes.",[],High,Violation,FN
Gemini-3.1-Pro-Preview,google,BADCamp,4,BC-003,Problem-oriented,No Violation,email all the trainers at once from the website,The story describes a functional need (emailing trainers) without unnecessarily prescribing the underlying technical mechanism.,[],High,Violation,FN
Gemini-3.1-Pro-Preview,google,BADCamp,4,BC-005,Problem-oriented,Violation,edit my training node myself,The story prescribes a Drupal-specific technical implementation ('node') instead of focusing purely on the user need to edit training information.,[],High,No Violation,FP
Gemini-3.1-Pro-Preview,google,BADCamp,4,BC-010,Problem-oriented,No Violation,tie in a cancellation deadline to whatever registration / cancellation workflow exists,The story describes a business logic need without prescribing the specific technical implementation.,[],High,Violation,FN
Gemini-3.1-Pro-Preview,google,BADCamp,4,BC-030,Problem-oriented,No Violation,Enter payment information and have my card charged,The story describes a functional need without prescribing specific UI widgets or technical implementations.,[],High,Violation,FN
Gemini-3.1-Pro-Preview,google,BADCamp,4,BC-039,Problem-oriented,No Violation,get detailed directions to the summit venue,The story describes a user need without prescribing specific UI widgets or technical implementations.,[],High,Violation,FN
Gemini-3.1-Pro-Preview,google,BADCamp,4,BC-054,Problem-oriented,No Violation,assign a room to a time slot and a location,The story describes a functional need without prescribing specific UI widgets or technical implementations.,[],High,Violation,FN
Gemini-3.1-Pro-Preview,google,BADCamp,4,BC-057,Problem-oriented,No Violation,bulk approve sessions as accepted,The story describes a functional need without prescribing specific UI widgets or technical implementations.,[],High,Violation,FN
Gemini-3.1-Pro-Preview,google,BADCamp,4,BC-003,Unambiguous,No Violation,email all the trainers at once from the website for info and updates,The action and its purpose are clearly specified without ambiguity.,[],High,Violation,FN
Gemini-3.1-Pro-Preview,google,BADCamp,4,BC-004,Unambiguous,No Violation,very clear map where the buildings and rooms are,"While 'very clear' is slightly subjective, the core requirement of a map showing buildings and rooms is unambiguous.",[],High,Violation,FN
Gemini-3.1-Pro-Preview,google,BADCamp,4,BC-007,Unambiguous,No Violation,admin view that helps track registration status for each attendee,"The requirement is clear, and the rationale further clarifies the specific statuses to track.",[],High,Violation,FN
Gemini-3.1-Pro-Preview,google,BADCamp,4,BC-008,Unambiguous,No Violation,be added to a training waitlist,The action is clear and unambiguous.,[],High,Violation,FN
Gemini-3.1-Pro-Preview,google,BADCamp,4,BC-013,Unambiguous,No Violation,view that is attached to their training node that shows all attendee information,"The requirement is clear enough for implementation, specifying the location and content of the view.",[],Moderate,Violation,FN
Gemini-3.1-Pro-Preview,google,BADCamp,4,BC-014,Unambiguous,No Violation,admin view where all trainee information is shown and can be filtered to show a single training session,The requirement clearly specifies an admin view with filtering capabilities.,[],High,Violation,FN
Gemini-3.1-Pro-Preview,google,BADCamp,4,BC-016,Unambiguous,No Violation,"day and time of training, title, short summary, trainers, level, number of registrations, remaining registrations, location of training, link to full details of the training, register now link",The story provides an explicit and unambiguous list of required fields.,[],High,Violation,FN
Gemini-3.1-Pro-Preview,google,BADCamp,4,BC-019,Unambiguous,No Violation,find out where the coding lounge is and what time it is open,The requirement is clear and unambiguous.,[],High,Violation,FN
Gemini-3.1-Pro-Preview,google,BADCamp,4,BC-021,Unambiguous,No Violation,find a link on the sponsorships page to become a $350 level sponsor,The requirement is clear and unambiguous.,[],High,Violation,FN
Gemini-3.1-Pro-Preview,google,BADCamp,4,BC-022,Unambiguous,No Violation,See a list of attendees associated with this company,The requirement is clear and unambiguous.,[],High,Violation,FN
Gemini-3.1-Pro-Preview,google,BADCamp,4,BC-026,Unambiguous,No Violation,see a list of the sessions associated with sponsor attendees,The requirement is clear and unambiguous.,[],High,Violation,FN
Gemini-3.1-Pro-Preview,google,BADCamp,4,BC-027,Unambiguous,No Violation,See a payment page to pay for my individual sponsorships as the third step of the registration process,The requirement is clear and unambiguous.,[],High,Violation,FN
Gemini-3.1-Pro-Preview,google,BADCamp,4,BC-029,Unambiguous,No Violation,"see all events, trainings and summits that a sponsor is sponsoring",The requirement is clear and unambiguous.,[],High,Violation,FN
Gemini-3.1-Pro-Preview,google,BADCamp,4,BC-048,Unambiguous,No Violation,learn about sponsorship levels,The requirement is clear and unambiguous.,[],High,Violation,FN
Gemini-3.1-Pro-Preview,google,BADCamp,4,BC-051,Unambiguous,No Violation,learn about posting jobs as a sponsor and contact the sponsorship person,The requirement is clear and unambiguous.,[],High,Violation,FN
Gemini-3.1-Pro-Preview,google,BADCamp,4,BC-053,Unambiguous,No Violation,view the job board,The requirement is clear and unambiguous.,[],High,Violation,FN
Gemini-3.1-Pro-Preview,google,BADCamp,4,BC-055,Unambiguous,No Violation,see the schedule,The requirement is clear and unambiguous.,[],High,Violation,FN
Gemini-3.1-Pro-Preview,google,BADCamp,4,BC-056,Unambiguous,No Violation,see the final list of sessions approved,The requirement is clear and unambiguous.,[],High,Violation,FN
Gemini-3.1-Pro-Preview,google,BADCamp,4,BC-059,Unambiguous,No Violation,receive a notification when sessions have been evaluated,The requirement is clear and unambiguous.,[],High,Violation,FN
Gemini-3.1-Pro-Preview,google,BADCamp,4,BC-060,Unambiguous,No Violation,receive a notification when I submit a session,The requirement is clear and unambiguous.,[],High,Violation,FN
Gemini-3.1-Pro-Preview,google,BADCamp,4,BC-062,Unambiguous,No Violation,register to speak at BADCamp,The requirement is clear and unambiguous.,[],High,Violation,FN
Gemini-3.1-Pro-Preview,google,BADCamp,4,BC-065,Unambiguous,No Violation,see a list of all the summits that include when they are,The requirement is clear and unambiguous.,[],High,Violation,FN
Gemini-3.1-Pro-Preview,google,BADCamp,4,BC-066,Unambiguous,No Violation,Be offered several choices of idividual sponsorship on the second page of registration,The requirement is clear and unambiguous.,[],High,Violation,FN
Gemini-3.1-Pro-Preview,google,BADCamp,4,BC-067,Unambiguous,No Violation,easily find a link in the menu that links to the registration form,The requirement is clear and unambiguous.,[],High,Violation,FN
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-005,Complete,Violation,edit my training node myself,"This story describes an update operation for a 'training node', but the backlog lacks a complementary story for a trainer or admin to create a training node.",[],High,No Violation,FP
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-007,Complete,Violation,"see if attendend, refunded, no show","This story requires tracking a 'refunded' status for training attendees, but the backlog lacks a complementary story to actually process a training refund.",[],High,No Violation,FP
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-008,Complete,Violation,added to a training waitlist,"This story allows users to join a waitlist, but the backlog lacks a complementary capability for admins or the system to manage the waitlist and promote users to registered status.",[],High,No Violation,FP
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-010,Complete,Violation,tie in a cancellation deadline to whatever registration / cancellation workflow exists,"This story references a cancellation workflow for trainings, but the backlog lacks a complementary story for a trainee to actually cancel their training registration.",[],High,No Violation,FP
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-012,Complete,Violation,see which trainings I have signed up for,"This story is a read operation for a user's training registrations, but the backlog lacks a complementary story for a trainee to actually register for a training.",[],High,No Violation,FP
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-021,Conceptually sound,Violation,so that I can pay for and become a sponsor role,The ends introduces another required feature (paying and becoming a sponsor role) instead of explaining why finding a link is valuable.,[],High,No Violation,FP
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-025,Conceptually sound,Violation,and see the events happening there,The ends introduces another required feature (seeing events happening at the venue) instead of just explaining why viewing venue details is valuable.,[],High,No Violation,FP
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-027,Conceptually sound,Violation,so that pay for my sponsorship,The ends introduces another required feature (paying for the sponsorship) instead of explaining why seeing a payment page is valuable.,[],High,No Violation,FP
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-028,Conceptually sound,Violation,so that They will be featured on the sponsor detail page,The ends introduces another required feature (featuring sponsors on the detail page) instead of explaining why assigning sponsors is valuable.,[],High,No Violation,FP
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-041,Conceptually sound,Violation,so that I can communicate with my attendees by email prior to the event,The ends introduces another required feature (emailing attendees) instead of explaining why seeing a list of attendees is valuable.,[],High,No Violation,FP
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-046,Conceptually sound,Violation,register for the event,The ends introduces another required feature (registering for the event) instead of just explaining why seeing specific details is valuable.,[],High,No Violation,FP
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-051,Conceptually sound,Violation,so that I have the opportunty to post my job listing on the BADCamp site,The ends introduces another required feature (posting a job listing) instead of explaining why learning and contacting is valuable.,[],High,No Violation,FP
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-054,Conceptually sound,Violation,so that I can populate the schedule,The ends introduces another required feature (populating the schedule) instead of explaining why assigning a room to a time slot is valuable.,[],High,No Violation,FP
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-058,Conceptually sound,Violation,so that I can populate the schedule,The ends introduces another required feature (populating the schedule) instead of explaining why marking a session as accepted is valuable.,[],High,No Violation,FP
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-062,Conceptually sound,Violation,so that I submit a session,The ends introduces another required feature (submitting a session) instead of explaining why registering to speak is valuable.,[],High,No Violation,FP
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-063,Conceptually sound,Violation,so that I can get my session evaluated,The ends introduces another required feature (getting the session evaluated) instead of explaining why submitting a session is valuable.,[],High,No Violation,FP
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-067,Conceptually sound,Violation,so that I can easily register for the camp,The ends introduces another required feature (registering for the camp) instead of explaining why finding a link is valuable.,[],High,No Violation,FP
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-068,Conceptually sound,Violation,so that I can register for the camp and get an account on the website,The ends introduces another required feature (getting an account on the website) instead of explaining why filling out a registration form is valuable.,[],High,No Violation,FP
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-059,Conflict-free,Violation,"As a anonymoususer, I want to receive a notification when sessions have been evaluated",Conflicts with BC-063 which requires users to be authenticated to submit and have sessions evaluated.,"[""BC-063"", ""BC-060""]",High,No Violation,FP
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-060,Conflict-free,Violation,"As a anonymoususer, I want to receive a notification when I submit a session",Conflicts with BC-063 which states that an authenticated user submits a session.,"[""BC-063"", ""BC-059""]",High,No Violation,FP
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-063,Conflict-free,Violation,"As a authenticateduser, I want to submit a session",Conflicts with BC-059 and BC-060 which imply that anonymous users can submit sessions and receive evaluations.,"[""BC-059"", ""BC-060""]",High,No Violation,FP
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-003,Estimatable,No Violation,,The functionality to email all trainers at once is clear and estimatable.,[],High,Violation,FN
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-004,Estimatable,No Violation,,Providing a map of buildings and rooms is a well-defined feature that can be reasonably estimated.,[],High,Violation,FN
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-005,Estimatable,No Violation,,Editing a specific node type (training node) is a standard CRUD operation that is easy to estimate.,[],High,Violation,FN
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-007,Estimatable,No Violation,,An admin view to track registration status is a clear and estimatable requirement.,[],High,Violation,FN
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-008,Estimatable,No Violation,,Adding a user to a waitlist is a specific and estimatable feature.,[],High,Violation,FN
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-013,Estimatable,No Violation,,Creating a view attached to a training node to show attendee information is specific and estimatable.,[],High,Violation,FN
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-014,Estimatable,No Violation,,"An admin view for trainee information with filtering capabilities is a standard, estimatable feature.",[],High,Violation,FN
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-015,Estimatable,No Violation,,"The story provides a highly detailed list of fields and requirements for the class page, making it very estimatable.",[],High,Violation,FN
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-016,Estimatable,No Violation,,"The story lists specific information to be displayed for training options, making it clear and estimatable.",[],High,Violation,FN
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-017,Estimatable,No Violation,,A training landing page with an intro and list of offerings is a standard and estimatable requirement.,[],High,Violation,FN
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-019,Estimatable,No Violation,,Displaying location and hours for a specific lounge is clear and estimatable.,[],High,Violation,FN
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-021,Estimatable,No Violation,,Providing a link to become a sponsor is a clear and estimatable requirement.,[],High,Violation,FN
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-027,Estimatable,No Violation,,Adding a payment page as a specific step in a registration process is clear and estimatable.,[],High,Violation,FN
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-042,Estimatable,No Violation,,Listing basic information about a summit is a clear and estimatable requirement.,[],High,Violation,FN
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-046,Estimatable,No Violation,,Viewing specific details on summits is a clear and estimatable requirement.,[],High,Violation,FN
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-051,Estimatable,No Violation,,Providing information and a contact method for posting jobs is clear and estimatable.,[],High,Violation,FN
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-059,Estimatable,No Violation,,Receiving a notification upon session evaluation is a specific and estimatable feature.,[],High,Violation,FN
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-060,Estimatable,No Violation,,Receiving a notification upon session submission is a specific and estimatable feature.,[],High,Violation,FN
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-062,Estimatable,No Violation,,Registering to speak is a clear and estimatable requirement.,[],High,Violation,FN
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-065,Estimatable,No Violation,,Viewing a list of summits with their times is a clear and estimatable requirement.,[],High,Violation,FN
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-066,Estimatable,No Violation,,Offering sponsorship choices on a specific registration page is clear and estimatable.,[],High,Violation,FN
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-067,Estimatable,No Violation,,Adding a registration link to the menu is a trivial and easily estimatable task.,[],High,Violation,FN
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-069,Estimatable,Violation,find session information,"The word 'find' is vague and could imply a simple list, a search bar, or complex faceted filtering, making the scope difficult to estimate.",[],High,No Violation,FP
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-005,Full sentence,No Violation,"As a trainer, I want to edit my training node myself, so that the training coordinators don't have to and links to slides.","Despite a minor grammatical malformation at the end, the story reads as a complete sentence.",[],High,Violation,FN
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-007,Full sentence,No Violation,"As a trainingcoordinator, I want to have an admin view that helps track registration status for each attendee so that, so that we can see if attendend, refunded, no show.","Despite minor typos and repetition, the story reads as a complete sentence.",[],High,Violation,FN
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-009,Full sentence,No Violation,"As a trainee, I want to must accept the cancellation terms with a checkbox, so that they can be accountable..","Despite a minor grammatical error ('want to must'), the story reads as a complete sentence.",[],High,Violation,FN
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-010,Full sentence,No Violation,"As a trainingcoordinator, I want to tie in a cancellation deadline to whatever registration / cancellation workflow exists, so that so we don't loose money or spots.","Despite minor typos, the story reads as a complete sentence.",[],High,Violation,FN
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-015,Full sentence,No Violation,"As a anonymoususer, I want to have a dedicated page for each class to learn more about the offering The following information must be shown: Logo, title, trainers, location, possibly a map view, datetime, skill level, registrations remaining, link to register for class. The URL path should be SEO friendly /training/training-title, so that I can choose the right class, AND the trainer can tweet and promote their class.",The story consists of multiple complete sentences and is not a fragment.,[],High,Violation,FN
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-027,Full sentence,No Violation,"As a authenticateduser, I want to See a payment page to pay for my individual sponsorships as the third step of the registration process so that pay for my sponsorship.","Despite a missing pronoun in the rationale clause, the story reads as a complete sentence overall.",[],High,Violation,FN
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-060,Full sentence,No Violation,"As a anonymoususer, I want to receive a notification when I submit a session, so that know that my session went through ok.",The story is a well-formed full sentence.,[],High,Violation,FN
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-001,Independent,Violation,view a list of sponsors,Viewing a list of sponsors inherently depends on the capability to create or become a sponsor first.,"[""BC-023""]",High,No Violation,FP
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-002,Independent,Violation,view a list of user profiles,Viewing a list of user profiles inherently depends on the capability to create user profiles first.,"[""BC-068""]",High,No Violation,FP
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-003,Independent,Violation,email all the trainers,"Emailing trainers inherently depends on trainers existing in the system, which requires them to submit sessions or trainings first.","[""BC-063""]",High,No Violation,FP
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-004,Independent,Violation,map where the buildings and rooms are,Viewing a map of buildings and rooms inherently depends on the capability to create and maintain venues first.,"[""BC-024""]",High,No Violation,FP
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-005,Independent,Violation,edit my training node,Editing a training node inherently depends on the capability to create a training node first.,"[""BC-015""]",High,No Violation,FP
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-006,Independent,Violation,limit to one registration per day,Limiting registrations inherently depends on the capability to register first.,"[""BC-068""]",High,No Violation,FP
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-007,Independent,Violation,track registration status,Tracking registration status inherently depends on the capability to register first.,"[""BC-068""]",High,No Violation,FP
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-009,Independent,Violation,accept the cancellation terms,Accepting cancellation terms inherently depends on the existence of a registration workflow.,"[""BC-068""]",High,No Violation,FP
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-013,Independent,Violation,view that is attached to their training node that shows all attendee information,Viewing attendee information on a training node inherently depends on the capability to create trainings and register for them first.,"[""BC-015""]",High,No Violation,FP
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-014,Independent,Violation,admin view where all trainee information is shown,Viewing trainee information inherently depends on the capability to register for trainings first.,"[""BC-015""]",High,No Violation,FP
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-016,Independent,Violation,have the training options clearly marked,Marking training options inherently depends on the capability to create trainings first.,"[""BC-015""]",High,No Violation,FP
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-017,Independent,Violation,training landing page with an intro section and a list of all training offerings,Listing training offerings inherently depends on the capability to create trainings first.,"[""BC-015""]",High,No Violation,FP
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-018,Independent,Violation,link on the home page to a list of training options,Linking to a list of training options inherently depends on the training options page existing first.,"[""BC-017""]",High,No Violation,FP
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-020,Independent,Violation,refund sponsorship money,Refunding sponsorship money inherently depends on the capability to pay for a sponsorship first.,"[""BC-023""]",High,No Violation,FP
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-021,Independent,Violation,find a link on the sponsorships page to become a $350 level sponsor,Finding a link on the sponsorships page inherently depends on the sponsorships page existing first.,"[""BC-048""]",High,No Violation,FP
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-022,Independent,Violation,See a list of attendees associated with this company,Viewing attendees associated with a company inherently depends on user registration and company sponsorships existing first.,"[""BC-023"", ""BC-068""]",High,No Violation,FP
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-025,Independent,Violation,view venue details,Viewing venue details inherently depends on the capability to create venues first.,"[""BC-024""]",High,No Violation,FP
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-026,Independent,Violation,see a list of the sessions associated with sponsor attendees,Viewing sessions associated with sponsor attendees inherently depends on sessions and sponsor attendees existing first.,"[""BC-023"", ""BC-063""]",High,No Violation,FP
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-028,Independent,Violation,"assign sponsors to events, trainings and summits",Assigning sponsors inherently depends on sponsors existing first.,"[""BC-023""]",High,No Violation,FP
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-029,Independent,Violation,"see all events, trainings and summits that a sponsor is sponsoring",Viewing what a sponsor is sponsoring inherently depends on the capability to assign sponsors to events first.,"[""BC-028""]",High,No Violation,FP
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-031,Independent,Violation,link BADCamp attendees to my sponsorship page,Linking to a sponsorship page inherently depends on the sponsorship page existing first.,"[""BC-064""]",High,No Violation,FP
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-032,Independent,Violation,update my user profile,Updating a user profile inherently depends on the capability to create a user profile first.,"[""BC-068""]",High,No Violation,FP
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-034,Independent,Violation,tag my blog posts,Tagging blog posts inherently depends on the capability to create blog posts first.,"[""BC-035""]",High,No Violation,FP
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-036,Independent,Violation,read the blog,Reading the blog inherently depends on the capability to create blog posts first.,"[""BC-035""]",High,No Violation,FP
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-037,Independent,Violation,sponsor a summit,Sponsoring a summit inherently depends on summits and sponsors existing first.,"[""BC-023"", ""BC-042""]",High,No Violation,FP
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-038,Independent,Violation,register for a summit,Registering for a summit inherently depends on summits existing first.,"[""BC-042""]",High,No Violation,FP
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-039,Independent,Violation,get detailed directions to the summit venue,Getting directions to a summit venue inherently depends on summit venues existing first.,"[""BC-024"", ""BC-042""]",High,No Violation,FP
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-043,Independent,Violation,list sponsors for my summit,Listing sponsors for a summit inherently depends on summits and sponsors existing first.,"[""BC-037"", ""BC-042""]",High,No Violation,FP
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-044,Independent,Violation,list an agenda for my summit,Listing an agenda for a summit inherently depends on summits existing first.,"[""BC-042""]",High,No Violation,FP
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-045,Independent,Violation,see how many seats are left for the summit,Viewing remaining seats inherently depends on the capability to register for summits first.,"[""BC-038""]",High,No Violation,FP
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-046,Independent,Violation,see specific details on summits,Viewing specific details on summits inherently depends on summits existing first.,"[""BC-042""]",High,No Violation,FP
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-047,Independent,Violation,see a list of all the summits,Viewing a list of summits inherently depends on summits existing first.,"[""BC-042""]",High,No Violation,FP
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-050,Independent,Violation,Link to my sponsorship profile from my job listings,Linking from job listings to a sponsorship profile inherently depends on job listings and sponsorship profiles existing first.,"[""BC-052"", ""BC-064""]",High,No Violation,FP
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-051,Independent,Violation,learn about posting jobs as a sponsor,Learning about posting jobs as a sponsor inherently depends on sponsorship levels existing first.,"[""BC-048""]",High,No Violation,FP
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-052,Independent,Violation,post a job,Posting a job as a sponsor inherently depends on the capability to become a sponsor first.,"[""BC-023""]",High,No Violation,FP
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-053,Independent,Violation,view the job board,Viewing the job board inherently depends on the capability to post jobs first.,"[""BC-052""]",High,No Violation,FP
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-055,Independent,Violation,see the schedule,Viewing the schedule inherently depends on the capability to populate the schedule first.,"[""BC-054""]",High,No Violation,FP
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-056,Independent,Violation,see the final list of sessions approved,Viewing approved sessions inherently depends on the capability to approve sessions first.,"[""BC-057""]",High,No Violation,FP
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-057,Independent,Violation,bulk approve sessions,Approving sessions inherently depends on the capability to submit sessions first.,"[""BC-063""]",High,No Violation,FP
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-061,Independent,Violation,edit my session,Editing a session inherently depends on the capability to submit a session first.,"[""BC-063""]",High,No Violation,FP
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-062,Independent,Violation,register to speak,Registering to speak inherently depends on the capability to register as a user first.,"[""BC-068""]",High,No Violation,FP
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-064,Independent,Violation,personalize my sponsorship page,Personalizing a sponsorship page inherently depends on the capability to become a sponsor first.,"[""BC-023""]",High,No Violation,FP
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-065,Independent,Violation,see a list of all the summits that include when they are,Viewing a list of summits inherently depends on summits existing first.,"[""BC-042""]",High,No Violation,FP
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-067,Independent,Violation,easily find a link in the menu that links to the registration form,Linking to the registration form inherently depends on the registration form existing first.,"[""BC-068""]",High,No Violation,FP
