model,provider,project,run,story_id,criterion,decision,evidence,rationale,related_story_ids,confidence,ground_truth
Gemini-3.1-Pro-Preview,google,BADCamp,4,BC-028,Problem-oriented,No Violation,"assign sponsors to events, trainings and summits",The story describes a functional need without prescribing specific UI widgets or technical implementations.,[],High,Uncertain
Gemini-3.1-Pro-Preview,google,BADCamp,4,BC-031,Problem-oriented,No Violation,link BADCamp attendees to my sponsorship page,The story describes a functional need to connect entities without unnecessarily prescribing specific UI widgets.,[],Moderate,Uncertain
Gemini-3.1-Pro-Preview,google,BADCamp,4,BC-041,Problem-oriented,No Violation,see a list of attendees signed up for my summit,The story describes a user need without prescribing specific UI widgets or technical implementations.,[],High,Uncertain
Gemini-3.1-Pro-Preview,google,BADCamp,4,BC-045,Problem-oriented,No Violation,see how many seats are left for the summit,The story describes a user need without prescribing specific UI widgets or technical implementations.,[],High,Uncertain
Gemini-3.1-Pro-Preview,google,BADCamp,4,BC-056,Problem-oriented,No Violation,see the final list of sessions approved,The story describes a user need without prescribing specific UI widgets or technical implementations.,[],High,Uncertain
Gemini-3.1-Pro-Preview,google,BADCamp,4,BC-058,Problem-oriented,No Violation,mark a session as accepted,The story describes a functional need without prescribing specific UI widgets or technical implementations.,[],High,Uncertain
Gemini-3.1-Pro-Preview,google,BADCamp,4,BC-059,Problem-oriented,No Violation,receive a notification when sessions have been evaluated,The story describes a user need without prescribing specific UI widgets or technical implementations.,[],High,Uncertain
Gemini-3.1-Pro-Preview,google,BADCamp,4,BC-060,Problem-oriented,No Violation,receive a notification when I submit a session,The story describes a user need without prescribing specific UI widgets or technical implementations.,[],High,Uncertain
Gemini-3.1-Pro-Preview,google,BADCamp,4,BC-061,Problem-oriented,No Violation,edit my session,The story describes a functional need without prescribing specific UI widgets or technical implementations.,[],High,Uncertain
Gemini-3.1-Pro-Preview,google,BADCamp,4,BC-062,Problem-oriented,No Violation,register to speak at BADCamp,The story describes a functional need without prescribing specific UI widgets or technical implementations.,[],High,Uncertain
Gemini-3.1-Pro-Preview,google,BADCamp,4,BC-063,Problem-oriented,No Violation,submit a session at BADCAMP,The story describes a functional need without prescribing specific UI widgets or technical implementations.,[],High,Uncertain
Gemini-3.1-Pro-Preview,google,BADCamp,4,BC-006,Unambiguous,No Violation,limit to one registration per day per authenticated user,The constraint is highly specific and unambiguous.,[],High,Uncertain
Gemini-3.1-Pro-Preview,google,BADCamp,4,BC-009,Unambiguous,No Violation,must accept the cancellation terms with a checkbox,The requirement specifies the exact interaction mechanism (checkbox) and purpose.,[],High,Uncertain
Gemini-3.1-Pro-Preview,google,BADCamp,4,BC-012,Unambiguous,No Violation,see which trainings I have signed up for,The requirement is clear and unambiguous.,[],High,Uncertain
Gemini-3.1-Pro-Preview,google,BADCamp,4,BC-018,Unambiguous,No Violation,link on the home page to a list of training options,The requirement is clear and unambiguous.,[],High,Uncertain
Gemini-3.1-Pro-Preview,google,BADCamp,4,BC-025,Unambiguous,No Violation,view venue details,The requirement is clear and unambiguous.,[],High,Uncertain
Gemini-3.1-Pro-Preview,google,BADCamp,4,BC-028,Unambiguous,No Violation,"assign sponsors to events, trainings and summits",The requirement is clear and unambiguous.,[],High,Uncertain
Gemini-3.1-Pro-Preview,google,BADCamp,4,BC-033,Unambiguous,No Violation,sign up for the BADCamp newsletter,The requirement is clear and unambiguous.,[],High,Uncertain
Gemini-3.1-Pro-Preview,google,BADCamp,4,BC-037,Unambiguous,No Violation,sponsor a summit that matches my brand,The action 'sponsor a summit' is clear; 'matches my brand' is part of the user's goal/rationale.,[],High,Uncertain
Gemini-3.1-Pro-Preview,google,BADCamp,4,BC-039,Unambiguous,No Violation,get detailed directions to the summit venue,The requirement is clear and unambiguous.,[],High,Uncertain
Gemini-3.1-Pro-Preview,google,BADCamp,4,BC-041,Unambiguous,No Violation,see a list of attendees signed up for my summit,The requirement is clear and unambiguous.,[],High,Uncertain
Gemini-3.1-Pro-Preview,google,BADCamp,4,BC-043,Unambiguous,No Violation,list sponsors for my summit,The requirement is clear and unambiguous.,[],High,Uncertain
Gemini-3.1-Pro-Preview,google,BADCamp,4,BC-044,Unambiguous,No Violation,list an agenda for my summit,The requirement is clear and unambiguous.,[],High,Uncertain
Gemini-3.1-Pro-Preview,google,BADCamp,4,BC-045,Unambiguous,No Violation,see how many seats are left for the summit,The requirement is clear and unambiguous.,[],High,Uncertain
Gemini-3.1-Pro-Preview,google,BADCamp,4,BC-049,Unambiguous,No Violation,use a WYSIWYG editor for all long-form content,The requirement is clear and unambiguous in a CMS context.,[],High,Uncertain
Gemini-3.1-Pro-Preview,google,BADCamp,4,BC-050,Unambiguous,No Violation,Link to my sponsorship profile from my job listings,The requirement is clear and unambiguous.,[],High,Uncertain
Gemini-3.1-Pro-Preview,google,BADCamp,4,BC-052,Unambiguous,No Violation,post a job,The requirement is clear and unambiguous.,[],High,Uncertain
Gemini-3.1-Pro-Preview,google,BADCamp,4,BC-057,Unambiguous,No Violation,bulk approve sessions as accepted,The requirement is clear and unambiguous.,[],High,Uncertain
Gemini-3.1-Pro-Preview,google,BADCamp,4,BC-058,Unambiguous,No Violation,mark a session as accepted,The requirement is clear and unambiguous.,[],High,Uncertain
Gemini-3.1-Pro-Preview,google,BADCamp,4,BC-061,Unambiguous,No Violation,edit my session,The requirement is clear and unambiguous.,[],High,Uncertain
Gemini-3.1-Pro-Preview,google,BADCamp,4,BC-063,Unambiguous,No Violation,submit a session at BADCAMP,The requirement is clear and unambiguous.,[],High,Uncertain
Gemini-3.1-Pro-Preview,google,BADCamp,4,BC-064,Unambiguous,Violation,personalize my sponsorship page,The term 'personalize' is vague and allows for materially different interpretations of what customization features are required.,[],High,Uncertain
Gemini-3.1-Pro-Preview,google,BADCamp,4,BC-068,Unambiguous,No Violation,fill out a user registration form,The requirement is clear and unambiguous.,[],High,Uncertain
Gemini-3.1-Pro-Preview,google,BADCamp,4,BC-062,Unique,No Violation,,The story expresses a unique requirement not duplicated elsewhere in the backlog.,[],High,Uncertain
Gemini-3.1-Pro-Preview,google,BADCamp,4,BC-063,Unique,No Violation,,The story expresses a unique requirement not duplicated elsewhere in the backlog.,[],High,Uncertain
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-015,Atomic,No Violation,"have a dedicated page for each class to learn more about the offering The following information must be shown: Logo, title, trainers, location, possibly a map view, datetime, skill level, registrations remaining, link to register for class.",The story describes a single feature (a dedicated class page) and merely enumerates its attributes.,[],High,Uncertain
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-016,Atomic,No Violation,"have the training options clearly marked for the following information: day and time of training, title, short summary, trainers, level, number of registrations, remaining registrations, location of training, link to full details of the training, register now link",The story describes a single feature (marking training options) and merely enumerates its attributes.,[],High,Uncertain
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-023,Atomic,Violation,identify myself as and pay for a $350 company sponsorship,The story combines two independently implementable features: identifying oneself (authentication/profile selection) and paying for a sponsorship (transaction).,[],High,Uncertain
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-024,Atomic,No Violation,create and maintain venues,The story describes a single feature (venue management/CRUD operations).,[],High,Uncertain
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-028,Atomic,No Violation,"assign sponsors to events, trainings and summits",The story describes a single feature (assigning sponsors to entities).,[],High,Uncertain
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-030,Atomic,No Violation,Enter payment information and have my card charged for an individual sponsorship,The story describes a single feature (processing a payment).,[],High,Uncertain
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-046,Atomic,No Violation,see specific details on summits,The story describes a single feature (viewing summit details). The other actions are part of the rationale.,[],High,Uncertain
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-020,Complete,No Violation,refund sponsorship money,"The backlog contains stories to pay for sponsorships, making this refund workflow complete.","[""BC-023"", ""BC-027"", ""BC-030""]",High,Uncertain
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-059,Complete,Violation,know whether I've been accepted or rejected,"This story expects a notification for rejected sessions, but the backlog lacks a complementary story for an admin to mark a session as rejected (only accepted via BC-057/BC-058).","[""BC-057"", ""BC-058""]",High,Uncertain
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-003,Conceptually sound,No Violation,so that It is easier to use,The ends expresses a valid rationale for the emailing feature.,[],High,Uncertain
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-007,Conceptually sound,No Violation,"so that we can see if attendend, refunded, no show",The ends expresses a valid rationale for the admin view.,[],High,Uncertain
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-015,Conceptually sound,No Violation,"so that I can choose the right class, AND the trainer can tweet and promote their class",The ends expresses a valid rationale for the dedicated class page.,[],High,Uncertain
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-017,Conceptually sound,No Violation,so that I can shop for training all with one page and we can have a call for trainings for selection,The ends expresses a valid rationale for the training landing page.,[],High,Uncertain
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-059,Conceptually sound,No Violation,so that I know whether I've been accepted or rejected,The ends expresses a valid rationale for receiving a notification.,[],High,Uncertain
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-006,Estimatable,No Violation,,Limiting registration to one per day per user is a specific business rule that can be estimated.,[],High,Uncertain
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-009,Estimatable,No Violation,,Adding a checkbox to accept cancellation terms is a very specific and easily estimatable task.,[],High,Uncertain
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-012,Estimatable,No Violation,,Viewing signed-up trainings is a clear and estimatable requirement.,[],High,Uncertain
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-018,Estimatable,No Violation,,Adding a link to the home page is a trivial and easily estimatable task.,[],High,Uncertain
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-023,Estimatable,No Violation,,Identifying and paying for a specific sponsorship level is a clear workflow that can be estimated.,[],High,Uncertain
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-024,Estimatable,No Violation,,"Creating and maintaining venues implies standard CRUD operations, which are easily estimatable.",[],High,Uncertain
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-025,Estimatable,No Violation,,Viewing venue details is a clear and estimatable requirement.,[],High,Uncertain
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-028,Estimatable,No Violation,,"Assigning sponsors to specific entities (events, trainings, summits) is a clear relational data task.",[],High,Uncertain
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-030,Estimatable,No Violation,,Entering payment info and charging a card is a standard e-commerce flow that can be estimated.,[],High,Uncertain
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-033,Estimatable,No Violation,,Signing up for a newsletter is a clear and estimatable requirement.,[],High,Uncertain
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-037,Estimatable,No Violation,,Sponsoring a summit is a clear business action that can be estimated as a selection/payment flow.,[],High,Uncertain
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-039,Estimatable,No Violation,,Providing detailed directions to a venue is a specific and estimatable feature.,[],High,Uncertain
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-041,Estimatable,No Violation,,Viewing a list of attendees for a specific summit is clear and estimatable.,[],High,Uncertain
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-043,Estimatable,No Violation,,Listing sponsors for a summit is a clear and estimatable requirement.,[],High,Uncertain
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-044,Estimatable,No Violation,,Listing an agenda for a summit is a clear and estimatable requirement.,[],High,Uncertain
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-045,Estimatable,No Violation,,Displaying remaining seats for a summit is a specific and estimatable feature.,[],High,Uncertain
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-049,Estimatable,No Violation,,Implementing a WYSIWYG editor for long-form content is a standard and estimatable task.,[],High,Uncertain
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-050,Estimatable,No Violation,,Linking a sponsorship profile from job listings is a specific and estimatable feature.,[],High,Uncertain
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-052,Estimatable,No Violation,,Posting a job is a standard content creation feature that is easily estimatable.,[],High,Uncertain
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-057,Estimatable,No Violation,,Bulk approving sessions is a specific administrative feature that can be estimated.,[],High,Uncertain
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-058,Estimatable,No Violation,,Marking a single session as accepted is a clear and estimatable requirement.,[],High,Uncertain
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-061,Estimatable,No Violation,,Editing a submitted session is a standard CRUD operation that is easy to estimate.,[],High,Uncertain
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-063,Estimatable,No Violation,,Submitting a session is a clear and estimatable requirement.,[],High,Uncertain
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-064,Estimatable,Violation,personalize my sponsorship page,"The term 'personalize' is highly underspecified and could range from simple text fields to complex custom layouts, making it difficult to estimate.",[],High,Uncertain
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-068,Estimatable,No Violation,,Filling out a user registration form is a standard and estimatable feature.,[],High,Uncertain
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-013,Full sentence,No Violation,"As a trainer, I want to have a view that is attached to their training node that shows all attendee information Trainers can see all class attendance at first because there are so little trainers and they are trusted with privacy, so that the training coordinator doesn't have to do all the work to get login info for environment setup.","Although it is a run-on sentence, it is not a fragment and reads as a complete sentence.",[],High,Uncertain
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-016,Full sentence,No Violation,"As a anonymoususer, I want to have the training options clearly marked for the following information: day and time of training, title, short summary, trainers, level, number of registrations, remaining registrations, location of training, link to full details of the training, register now link, so that I can shop for training all with one page AND find their class on on one page.",The story is a well-formed full sentence.,[],High,Uncertain
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-059,Full sentence,No Violation,"As a anonymoususer, I want to receive a notification when sessions have been evaluated, so that I know whether I've been accepted or rejected.",The story is a well-formed full sentence.,[],High,Uncertain
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-066,Full sentence,No Violation,"As a authenticateduser, I want to Be offered several choices of idividual sponsorship on the second page of registration, so that I can be awesome and financially support the camp.",The story is a well-formed full sentence.,[],High,Uncertain
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-008,Independent,Violation,added to a training waitlist,Being added to a training waitlist inherently depends on the capability to register for a training first.,"[""BC-015""]",High,Uncertain
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-010,Independent,Violation,tie in a cancellation deadline to whatever registration / cancellation workflow exists,Tying a cancellation deadline to a workflow inherently depends on the registration workflow existing first.,"[""BC-068""]",High,Uncertain
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-012,Independent,Violation,see which trainings I have signed up for,Viewing signed-up trainings inherently depends on the capability to sign up for trainings first.,"[""BC-015""]",High,Uncertain
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-030,Independent,No Violation,Enter payment information and have my card charged for an individual sponsorship,This story establishes the capability to pay for an individual sponsorship and is self-contained.,[],High,Uncertain
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-040,Independent,Violation,see what summits I'm signed up for,Viewing signed-up summits inherently depends on the capability to register for summits first.,"[""BC-038""]",High,Uncertain
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-041,Independent,Violation,see a list of attendees signed up for my summit,Viewing attendees signed up for a summit inherently depends on the capability to register for summits first.,"[""BC-038""]",High,Uncertain
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-054,Independent,Violation,assign a room to a time slot and a location,Assigning a room inherently depends on venues and rooms existing first.,"[""BC-024""]",High,Uncertain
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-058,Independent,Violation,mark a session as accepted,Marking a session as accepted inherently depends on the capability to submit sessions first.,"[""BC-063""]",High,Uncertain
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-059,Independent,Violation,receive a notification when sessions have been evaluated,Receiving a notification about evaluated sessions inherently depends on the capability to evaluate sessions first.,"[""BC-057""]",High,Uncertain
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-060,Independent,Violation,receive a notification when I submit a session,Receiving a notification upon submitting a session inherently depends on the capability to submit sessions first.,"[""BC-063""]",High,Uncertain
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-004,Minimal,No Violation,,"The story contains only role, means, and ends without extra notes.",[],High,Uncertain
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-005,Minimal,No Violation,,"The story contains only role, means, and ends without extra notes.",[],High,Uncertain
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-009,Minimal,No Violation,,"The story contains only role, means, and ends without extra notes.",[],High,Uncertain
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-010,Minimal,Violation,whatever registration / cancellation workflow exists,The story includes a comment/procedural note directed at the developer regarding the existing workflow.,[],High,Uncertain
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-014,Minimal,No Violation,,"The story contains only role, means, and ends without extra notes.",[],High,Uncertain
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-018,Minimal,No Violation,,"The story contains only role, means, and ends without extra notes.",[],High,Uncertain
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-021,Minimal,No Violation,,"The story contains only role, means, and ends without extra notes.",[],High,Uncertain
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-030,Minimal,No Violation,,"The story contains only role, means, and ends without extra notes.",[],High,Uncertain
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-039,Minimal,No Violation,,"The story contains only role, means, and ends without extra notes.",[],High,Uncertain
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-046,Minimal,No Violation,,"The story contains only role, means, and ends without extra notes.",[],High,Uncertain
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-049,Minimal,No Violation,,"The story contains only role, means, and ends without extra notes.",[],High,Uncertain
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-054,Minimal,No Violation,,"The story contains only role, means, and ends without extra notes.",[],High,Uncertain
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-057,Minimal,No Violation,,"The story contains only role, means, and ends without extra notes.",[],High,Uncertain
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-067,Minimal,No Violation,,"The story contains only role, means, and ends without extra notes.",[],High,Uncertain
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-068,Minimal,No Violation,,"The story contains only role, means, and ends without extra notes.",[],High,Uncertain
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-004,Problem-oriented,No Violation,have a very clear map where the buildings and rooms are,"While a map is a specific format, it directly represents the user's need for spatial orientation without prescribing software implementation details.",[],High,Uncertain
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-006,Problem-oriented,No Violation,limit to one registration per day per authenticated user,The story describes a business rule/need without prescribing how it should be technically enforced.,[],High,Uncertain
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-011,Problem-oriented,No Violation,"add to ""my schedule""",The story describes a functional need without prescribing specific UI widgets or technical implementations.,[],High,Uncertain
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-023,Problem-oriented,No Violation,identify myself as and pay for a $350 company sponsorship,The story describes a user need without prescribing specific UI widgets or technical implementations.,[],High,Uncertain
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-028,Problem-oriented,No Violation,"assign sponsors to events, trainings and summits",The story describes a functional need without prescribing specific UI widgets or technical implementations.,[],High,Uncertain
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-031,Problem-oriented,No Violation,link BADCamp attendees to my sponsorship page,The story describes a functional need to connect entities without unnecessarily prescribing specific UI widgets.,[],Moderate,Uncertain
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-041,Problem-oriented,No Violation,see a list of attendees signed up for my summit,The story describes a user need without prescribing specific UI widgets or technical implementations.,[],High,Uncertain
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-045,Problem-oriented,No Violation,see how many seats are left for the summit,The story describes a user need without prescribing specific UI widgets or technical implementations.,[],High,Uncertain
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-056,Problem-oriented,No Violation,see the final list of sessions approved,The story describes a user need without prescribing specific UI widgets or technical implementations.,[],High,Uncertain
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-058,Problem-oriented,No Violation,mark a session as accepted,The story describes a functional need without prescribing specific UI widgets or technical implementations.,[],High,Uncertain
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-059,Problem-oriented,No Violation,receive a notification when sessions have been evaluated,The story describes a user need without prescribing specific UI widgets or technical implementations.,[],High,Uncertain
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-060,Problem-oriented,No Violation,receive a notification when I submit a session,The story describes a user need without prescribing specific UI widgets or technical implementations.,[],High,Uncertain
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-061,Problem-oriented,No Violation,edit my session,The story describes a functional need without prescribing specific UI widgets or technical implementations.,[],High,Uncertain
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-062,Problem-oriented,No Violation,register to speak at BADCamp,The story describes a functional need without prescribing specific UI widgets or technical implementations.,[],High,Uncertain
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-063,Problem-oriented,No Violation,submit a session at BADCAMP,The story describes a functional need without prescribing specific UI widgets or technical implementations.,[],High,Uncertain
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-006,Unambiguous,No Violation,limit to one registration per day per authenticated user,The constraint is highly specific and unambiguous.,[],High,Uncertain
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-009,Unambiguous,No Violation,must accept the cancellation terms with a checkbox,The requirement specifies the exact UI element and action.,[],High,Uncertain
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-012,Unambiguous,No Violation,see which trainings I have signed up for,The requirement is clear and specific.,[],High,Uncertain
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-018,Unambiguous,No Violation,link on the home page to a list of training options,The requirement is clear and specific.,[],High,Uncertain
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-025,Unambiguous,Violation,view venue details,"The term 'venue details' is underspecified and does not clarify what specific information (e.g., address, capacity, map) must be shown.",[],High,Uncertain
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-028,Unambiguous,No Violation,"assign sponsors to events, trainings and summits",The requirement is clear and specific.,[],High,Uncertain
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-033,Unambiguous,No Violation,sign up for the BADCamp newsletter,The requirement is clear and specific.,[],High,Uncertain
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-037,Unambiguous,No Violation,sponsor a summit that matches my brand,The requirement is clear and specific.,[],High,Uncertain
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-039,Unambiguous,No Violation,get detailed directions to the summit venue,The requirement is clear and specific.,[],High,Uncertain
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-041,Unambiguous,No Violation,see a list of attendees signed up for my summit,The requirement is clear and specific.,[],High,Uncertain
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-043,Unambiguous,No Violation,list sponsors for my summit,The requirement is clear and specific.,[],High,Uncertain
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-044,Unambiguous,No Violation,list an agenda for my summit,The requirement is clear and specific.,[],High,Uncertain
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-045,Unambiguous,No Violation,see how many seats are left for the summit,The requirement is clear and specific.,[],High,Uncertain
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-049,Unambiguous,Violation,all long-form content,The term 'long-form content' is vague and allows materially different interpretations of where the WYSIWYG editor should be enabled.,[],High,Uncertain
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-050,Unambiguous,No Violation,Link to my sponsorship profile from my job listings,The requirement is clear and specific.,[],High,Uncertain
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-052,Unambiguous,No Violation,post a job,The requirement is clear and specific.,[],High,Uncertain
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-057,Unambiguous,No Violation,bulk approve sessions as accepted,The requirement is clear and specific.,[],High,Uncertain
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-058,Unambiguous,No Violation,mark a session as accepted,The requirement is clear and specific.,[],High,Uncertain
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-061,Unambiguous,No Violation,edit my session,The requirement is clear and specific.,[],High,Uncertain
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-063,Unambiguous,No Violation,submit a session at BADCAMP,The requirement is clear and specific.,[],High,Uncertain
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-064,Unambiguous,Violation,personalize my sponsorship page,The term 'personalize' is highly ambiguous and could mean anything from changing colors to adding custom HTML or logos.,[],High,Uncertain
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-068,Unambiguous,No Violation,fill out a user registration form,The requirement is clear and specific.,[],High,Uncertain
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-062,Unique,No Violation,,This story expresses a unique requirement not duplicated elsewhere in the backlog.,[],High,Uncertain
Gemini-3.1-Pro-Preview,google,BADCamp,5,BC-063,Unique,No Violation,,This story expresses a unique requirement not duplicated elsewhere in the backlog.,[],High,Uncertain
Gemini-3.1-Pro-Preview,google,PlanningPoker,1,PP-005,Atomic,No Violation,select an item to be estimated or re-estimated,The story describes a single feature (selecting an item).,[],High,Uncertain
Gemini-3.1-Pro-Preview,google,PlanningPoker,1,PP-027,Atomic,No Violation,"select whether to have the team estimate with {0, 1/2, 1, 2, 3, 5, 8, etc.} or {0, 1, 2, 4, 8, 16, 32, etc.}",The story describes a single feature (selecting an estimation scale).,[],High,Uncertain
Gemini-3.1-Pro-Preview,google,PlanningPoker,1,PP-026,Complete,No Violation,,"The story describes a password reminder, which utilizes the email provided during account creation.",[],High,Uncertain
Gemini-3.1-Pro-Preview,google,PlanningPoker,1,PP-051,Conceptually sound,No Violation,so that I can trust the system and its developers,The ends provides a valid rationale for nice error pages.,[],High,Uncertain
Gemini-3.1-Pro-Preview,google,PlanningPoker,1,PP-009,Conflict-free,Violation,show all estimates immediately... even though not all estimators have given their estimate,"This story allows the moderator to reveal estimates before all participants have voted, which directly conflicts with PP-033's requirement to only show estimates after all participants have voted.","[""PP-033""]",High,Uncertain
Gemini-3.1-Pro-Preview,google,PlanningPoker,1,PP-033,Conflict-free,Violation,shown all estimates at the same time after all estimators have given their estimate,"This story requires estimates to be hidden until all participants have voted, which directly conflicts with PP-009's allowance for the moderator to reveal estimates immediately before all votes are cast.","[""PP-009""]",High,Uncertain
Gemini-3.1-Pro-Preview,google,PlanningPoker,1,PP-004,Estimatable,No Violation,see all items we try to estimate this session,The scope and behavior are specific and clear enough to be reasonably estimated.,[],High,Uncertain
Gemini-3.1-Pro-Preview,google,PlanningPoker,1,PP-005,Estimatable,No Violation,select an item to be estimated or re-estimated,The scope and behavior are specific and clear enough to be reasonably estimated.,[],High,Uncertain
Gemini-3.1-Pro-Preview,google,PlanningPoker,1,PP-009,Estimatable,No Violation,show all estimates immediately,The scope and behavior are specific and clear enough to be reasonably estimated.,[],High,Uncertain
Gemini-3.1-Pro-Preview,google,PlanningPoker,1,PP-027,Estimatable,No Violation,"select whether to have the team estimate with {0, 1/2, 1, 2, 3, 5, 8, etc.} or {0, 1, 2, 4, 8, 16, 32, etc.}",The scope and behavior are specific and clear enough to be reasonably estimated.,[],High,Uncertain
Gemini-3.1-Pro-Preview,google,PlanningPoker,1,PP-028,Estimatable,No Violation,invite up to 15 estimators,The scope and behavior are specific and clear enough to be reasonably estimated.,[],High,Uncertain
